review,sentiment
"This one started it all: the first and original Godzilla (Gojira) movie, and also serves as the beginning to a long line of sci-fi and monster (kaiju in Japan) movies from Toho Studios. We have a story where Japan is thrown into a panic after several ships explode and sink. An expedition of law enforcement officials and lead scientist Dr. Yamane (Takeshi Shimura) head to nearby Odo Island to investigate. There, a legendary mythical creature called Gojira, alleged to be responsible for the ship disasters, make his first appearance and begins a rampage on hapless Tokyo, threatening all of mankind. This dramatic film with its thrills and horror has all the monster movie elements: a fire-breathing creature, toppling buildings, wall of flames, fleeing and screaming citizens, storms and seas, tanks and the army and frantic scientists and government officials - trying to figure out how to defeat the horror they see before them. The love triangle between the character leads blends in very well with the monster plot. Godzilla, making his first attack on Tokyo, created haunting scenes of death and destruction and poignant moments of dismalness in the aftermath of his wake. Director Ishiro Honda did his finest and composer Akira Ifukube scored one of his best film music masterpieces. A compelling story by Shigeru Kayama, marvelous screenplay by Takeo Murata and superb special effects by Eiji Tsuburaya. Actors Takeshi Shimura, Akira Takarada, Momoko Kochi and Akihiko Hirata gave outstanding performances. And, Haruo Nakajima, Katsumi Tezuka and Ryosaku Takasugi did a terrific and realistic job on portraying Godzilla.It is clever that the grave consequences of atomic bomb testings are depicted in this film, which sends a vital message to the real world. This is a creative way to explain Godzilla's origins. Every element in this movie are throughly connected, leaving no room for loose ends and plot holes. While the plot's pace is steady, all the on-scream drama and action will grab the audience's attention. Above all, this film is not just a ""monster-on-the-loose"" movie. It's a true classic, one that stands out above many sci-fi movies in cinema history. A great movie to begin a long and successful (in most cases) line of Godzilla and other monster/sci-fi films from Toho Studios. Grade A",positive
"The original, Japanese version of ""Gojira"" is the best giant monster film I've ever seen. Some fans get carried away and call it one of the best movies ever made; I wouldn't go quite that far, but it's damn good.This film is quite different from the 20+ sequels that followed. Here, Godzilla is not so much a creature as he is a walking incarnation of the atomic bomb. His death ray, which became a rather amusing cartoon laser blast in later films, is here depicted as a sort of radioactive mist that sets its victims on fire. These ""radioactive horror"" images still resonate today - and imagine the impact they must've had on Japanese audiences fifty years ago.From a production standpoint, the film holds up well. Godzilla's costume is much more convincing than the silly monkey suits that featured in the 60s and 70s Toho films, and due to the grayscale photography, the model cityscapes look convincing in most shots - or at least respectable. Ifkube's music score is stirring (you know it has to be good, as they kept recycling it in later movies), and director Honda makes great use of camera angles and imaginative special effects to give Godzilla a genuine aura of menace. For once, the human characters don't let the side down. There's a compelling love triangle, and a dramatic sacrifice made at the end of the film that adds enormously to its emotional impact. The American version (""Godzilla: King of the Monsters"") cut out much of the character development, and is thus clearly inferior; but never fear, Rialto is apparently releasing ""Gojira,"" in all its original glory, sometime this year (2004).In the later Godzilla films, the destruction he causes is almost incidental. Here, it's the whole point - he's a force of nature. Impressive.",positive
"Finally, I had the pleasure of finally seeing the original Japanese version of this classic and I have to say that it is much better than the ""Raymond Burr"" version. This film pretty much makes one think about what we are doing to mother Earth with all the pollution and war going on. Perhaps the thing that made this film great was that not only did it have great effects, but it also had a great story that made a great social commentary on what could have happened if the arms race continued to go unchecked. Besides the story about Gojira, you also had a pretty decent love story. Akihiko Hirata, does a good job of playing Serizawa, who is really the tragic figure in this film who must decide whether or not to use his weapon, which potentially was more dangerous than the monster itself. This film is definitely one of the all time classics and fortunately the original version will be released on DVD in September 2006.",negative
"Along with the 1933-version of ""King Kong"", this original Japanese release of ""Gojira"" is THE most essential giant monster movie ever and one the very few horror movies that every film lover in general has to see at least once. Why? Because, it's so much more than just silly drive-in cinema with a cheap looking monster! This is dark and apocalyptic Sci-Fi with a nearly allegorical rant about nuclear warfare and the honest fear for new types of weaponry. But I really don't feel like going into the deeper meaning behind ""Gojira"", as it primarily is an adrenalin rushing and overpowering action classic that doesn't need intellectual defense at all. One of the many reasons why I love this film so much (and same goes for ""King Kong"") is that we don't have to wait a dreadfully long time and/or endure a large amount of tedious speeches before we see the monster we want to see! Godzilla makes his highly memorable first appearance after approximately 20 minutes (by stretching his neck over a cliff!) and, from then on, this is deliciously hectic and paranoid monster-madness! The little bugger is presumably the result of too much H-bomb radiation and lives in the depths of the ocean, near the island of Odo. But now he's heading for Tokyo with his unnameable strength, fiery breath and  oh yeah  insatiable appetite for destruction! Particularly this extended sequence in which Godzilla blasts his way through the Japanese capital, crushing buildings and setting monuments on fire, is very impressive and legendary. The actor-in-monster-costume works a lot better than any form of computer engineered effects and the carefully imitated Tokyo sets are truly enchanting. The absolute best aspect about this production is its powerful score, which makes Godzilla even more threatening. Great stuff! This milestone simultaneously meant the go-ahead for an innumerable amount of quickly shot sequels (""Son of Gozilla"", ""Godzilla vs. Mothra""), spin-offs (""Godzilla VS. King Kong""), remakes (""Godzilla 1984"", the hi-tech American version) and of course an overload of pathetic imitations (""Reptilicus"", ""Monster from a Prehistoric Planet""). I still have to see all the direct sequels but don't really know what to expect from them. I guess that even if they're only half as good as this original, I'll be very satisfied.",positive
"When one thinks of all the schlock that has come out of Japan when it comes to monster movies, many which use the Godzilla figure, one forgets that this was a pretty darn good movie. I remember as a child, watching it on late night television, in 1960. It was New Year's Eve and the adults were out doing whatever it is they did. The presence of Raymond Burr gave me a sense of comfort (Perry Mason was a staple at our house). I realize he was added for American audiences. It didn't matter to me. Unlike so many of its successors, this was nicely paced, didn't bank on Godzilla being a matinée idol (some of the films are so stupid where the thing becomes a friend to Tokyo, a form of defense). This film has the terror of ""The Beast from 20,000 Fathoms."" The sets were much better. The battle scenes truer than the cheaper things that came later. The monster was a force. I have always enjoyed that scene where one goes over a hill or a rise just before a beach, and on the other side is the monster. The scenes of him wading into the harbor. This is a striking presentation for the early days of monster movies. Of course, it's all based on radiation and the nuclear threat. This stuff enlarges things and makes them rampage. I hope to purchase the Japanese remastered version from 2004. I'd like to see it the way it was intended to be seen.",positive
"A film that works because of its campy monster and its budget-limited special effects (they couldn't afford stop motion so it's all a dude wearing a rubber suit tromping on miniatures), but is made special because of its deep meaning and the warnings and questions it has for the nuclear age.It's telling that it was the most advanced scientific breakthrough made by the most brilliant minds on the planet, the harnessing of the atom, that led to the bombing of Hiroshima and Nagasaki, and in turn, in this movie, to the unleashing of a two million year old monster. It warns humanity that in stepping forward in its understanding of the universe, it was also taking a step backwards, and unleashing irrational, destructive violence upon the world. That's all pretty obvious I guess, but the scenes of fleeing people being incinerated by Godzilla, women and children huddling together in fear, and the destruction of Tokyo looking like an atomic bomb had gone off must have reverberated especially with the original audiences of the time. It certainly did for me. There is something deeply painful about this film.In a fascinating development, it's a Japanese scientist who has to wrestle with the morality of having developed a weapon of mass destruction called the 'Oxygen Destroyer', knowing that its use to stop Godzilla in the short term may lead to its use to further horrific destruction in the long term. It seems to put the Japanese in the same position as the Americans in 1945, one where there are no easy answers. How does one put the lid back on the box of an arms race, where one technology or act of violence leads to another in a crazy, unending spiral? The solution offered may or may not be all that realistic, but I thought just raising the question in the way the film did - and so soon after the war - was incredibly thought-provoking and brave. The film thus works on emotional and philosophical levels that one normally wouldn't get in a monster film, or at least, with this level of meaning and intensity. Definitely recommended.",positive
"When seventeen vessels blow-up and sink nearby Odo Island, Professor Kyohei Yamane (Takashi Shimura), his daughter Emiko Yamane (Momoko Kôchi), and the marine officer Hideto Ogata (Akira Takarada) head to the island to investigate. Soon they witness a giant monster called Gojira by the locals destroying the spot. Meanwhile Emiko meets her boyfriend, the secluded scientist Serizawa (Akihiko Hirata), and he makes she promise to keep a secret about his research with oxygen. She agrees and he discloses the lethal weapon Oxygen Destroyer that he had developed. When Gojira threatens Tokyo and other Japanese cities and the army and the navy are incapable to stop the monster, Emiko discloses Serizawa´s secret to her lover Ogata. Now they want to convince Serizawa to use the Oxygen Destroyer to stop Gojira.""Gojira"" (1954) is a surprisingly good Godzilla film, with well-developed story, screenplay and characters. Despite the dated effects and the behavior of Emiko, the plot is engaging and holds the attention of the viewer to the last scene. My vote is eight.Title (Brazil): ""Godzilla""",positive
"Pure classic sci-fi horror monster! I don't know how they made some of it seem so real, it's a wild gritty epic gargantua. The destruction was done so well and the emotions were admirable!",positive
"Yes, I have seen the rather cheesy Americanized version of this film with the obviously inserted Raymond Burr scenes and while you do get to see Godzilla crush Tokyo you miss most the the plot from the original Japanese version. The Japanese version is very well done and has a very good story, which for some reason we felt like changing. I don't know why, there really isn't any overtly anti-American messages to be found, rather a message against Japan's own nuclear testing and the dangers of said weapon to all people. So suffice to say this movie has a giant monster who comes out of the ocean, apparently a dinosaur that was entrapped in some underwater area where it remained undetected for millions of years...a nuclear test has not only released the beast it has horribly mutated it as well to a much bigger radioactive super beast. So scientist and military and politicians must now find a way to destroy the beast before it destroys all of Japan. The movie is very good and rather sad at the same time. The sweeping march on Tokyo is very well done as there is a rather good scene of a mother with her children surrounded by flames trying to comfort her kids by saying they will be with their father soon. Also a very good ending and very sad ending. It is also an ending in the Japanese version that warns that other Godzilla's may emerge and indeed they do as the next Godzilla to emerge would actually never be killed and end up being somewhat of a hero, kind of funny they did turn one of the most effective destructive monsters scarred by radiation into a hero, however I liked those Godzilla movies as well.",positive
"Essentially a Japanese remake of Hollywood's 1953 classic 'The Beast From 20,000 Fathoms', 'Gojira' took the same formula and became so much more than simple giant-monster entertainment.Both films told stories about a pre-historic creature released/mutated by atomic testing. 'The Beast From 20,000 Fathoms' followed the appearance of a dinosaur released by an atomic blast. This dinosaur proceeded to destroy some stuff, turned up in New York, and destroyed New York too. Fun, but that was it, and not much more (I'm not saying its a bad film).On the other hand, 'Gojira' used the same idea, and had a great impact in Japan. Gojira represented a real threat, a danger that Japanese of the time knew all too well. The message behind 'Gojira' was warning of the dangers of nuclear testing and nuclear weapons. Conversely, the message of 'The Beast From 20,000 Fathoms' is one for aspiring comic-book writers: exposure to radiation is a cheap but easy way to explain your character's freaky superpowers.'Gojira' starts off with several boats going missing. One old man claims that Godzilla has returned, and in surprisingly un-Godzilla movie like fashion, no one believes him. I can understand this, Japan wasn't accustomed to giant-monster attacks yet. Anyway, Japan asks an imminent paleontologist, Dr. Yamane, to investigate the disappearances around Ohto Island. He discovers a two-million year old shellfish and lots of radiation. Oh, and a dinosaur the locals have dubbed Gojira. Back in Japan, Dr. Yamane is convinced that Gojira has been released by atomic testing, and that it should be isolated and studied. Obviously, no one else shares his view, and they all look for a way to destroy Gojira.The key to Gojira's destruction lies in the hands of Dr. Serizawa. You can tell he is mad scientist because of his eye-patch. He is arranged to be married to Emiko Yamane, but she is in love with Hideto Ogata, a naval officer. Meanwhile, Gojira is turning Tokyo into a fiery crater.Story-wise, its pretty similar to any irradiated monster movie of the 1950s. However, what all the other movies lack is the gripping images of destruction. Gojira is depicted as an evil force of nature - instead of wanting to see cities get crushed, we see Tokyo in Gojira's wake: it resembles a nuclear wasteland, and then we are treated to hospital scenes where medical staff try their best to deal with the scores of Gojira's victims. I can only imagine how terrifying scenes like those would have been so soon after World War Two. These are scenes we don't to see, in contrast to the sheer joy of watching two giant monsters have at each other in a big metropolis with no apparent consequences (see: nearly every other Godzilla movie ever made, for starters) Interestingly enough, Godzilla was only 50 metres tall in this, and he left radioactive fallout wherever he went. Somewhere along the along the line in the following movies, he got significantly taller, and lost the radioactive fallout. I guess it was a good career move seeing as he wanted to become a super-hero later on.Great film, worthy of a 10/10",positive
