review,sentiment
"Ichi the Killer is the story of a Yakuza gang run by Anjo, whom his underlings find missing (possibly killed) with 100 million yen gone as well. The functional head of Anjo's gang while he's absent is an off-the-wall sadomasochist named Kakihara (Tadanobu Asano). There is a former affiliate gang, now somewhat rivals, run by Fujiwara (Toru Tezuka), and there are a number of gang outcasts who hang out at a bar/brothel, with Jijii (Shinya Tsukamoto) as their head. Jijii is manipulating/grooming a bizarre killer named Ichi (Nao Omori), who is gradually taking out Anjo and Fujiwara gang members for him.If you haven't seen infamous Japanese cult film director Takashi Miike's Ichi the Killer yet and you're considering it, there is one ""test"" that might make the decision easy for you--do you like fairly regular over-the-top violence, torture and gore? If that's enough to turn you on to a film, do not pass Ichi the Killer up--you're sure to love it. This is one of the most brutal and gory films I've seen, and yes, I've seen Andreas Schnaas films. However, if those things are enough to turn your stomach instead, you shouldn't come near this film with a two-foot needle.For me, I don't mind over-the-top violence, torture and gore, but that in itself isn't sufficient for me to like a film. Despite some admirable stylistic flourishes, including some very unique cinematography and editing as well as an unusual but extremely effective soundtrack, there were a number of things in Ichi the Killer that didn't quite work for me. I ended up liking the film, but just moderately. A 7 is a ""C"" in my rating system.One problem I had with the film, which might be clear from the description in my first paragraph, is that the plot isn't exactly easy to follow. Writer Sakichi Satô, adapting the script from a manga (Japanese comic) by Hideo Yamamoto, introduces a large number of characters in each scene, and we do not always get their names or very clear dialogue explaining who they are. There were quite a few characters for whom I was never very sure about their identity. In conjunction with this, the film didn't always flow as well as it should have. It tends to feel like long scenes of establishing exposition alternated with violence/torture showcases.But by the final ""act"", there are some very interesting revelations about characters and their relationships to one another. So it's not that the kernel of a good story isn't there. It's just told a bit awkwardly. This might not have been helped by the fact that Miike has stated that he was shooting for a kind of open-ended vagueness that is characteristic of Asian genre films. The impact of the revelations is somewhat dissolved by the time we get to the dénouement due to the intentional ambiguity.The beginning of Ichi the Killer employs a lot of extended cinematographic techniques in rapid succession ala Oliver Stone--different film speeds, stocks, tinting and processing methods, and so on. While these are interesting, Miike forgets about them quickly as he works his way into the story. They pop up occasionally later in the film, as do a couple shots in the vein of Dario Argento, such as a tracking shot through someone's ear. Even when more conventional, the cinematography and production design remain admirable throughout--I particularly liked the shot of Kakihara sitting in front of a red background, with his purple coat and green scarf, but there is a lot of outstanding visual composition in the film.Whether intended or not, Ichi the Killer frequently reads as more of a black (morbid) comedy. This is because the violence is so over-the-top that it is frequently cartoonish and ridiculous. Those are positive qualities in my book, but anyone looking for realism should beware. On the other hand, the emotional reactions from ""victims"" are fairly realistic throughout the film, including the fact that people do not die immediately after they are injured.But Miike's concern, as with his other films, is more surrealist. The behavior of the principal characters is particularly wacky, especially Ichi, who often seems borderline mentally deficient--he cries and cowers before he brutally attacks his victims, and has a very odd sexual dysfunction associated with his violence. Ichi is also portrayed as something akin to a superhero, and Miike constantly bounces back and forth between showing him as an admirable vigilante and an anti-hero. Kakihara, who is giving something of a venerable ""bad boy"" rock star/punk persona, is also almost a hero through much of the film, and he also has some bizarre sexual dysfunctions, as do a number of other characters. This is one of the main subtexts of the film; it isn't entirely dissimilar to the later A Snake of June (2002). There is also another character who undergoes something of a superhero transformation, as he sheds his public appearance and becomes a muscle-bound avenger near the climax.",positive
"Takashi Miike's ""Ichi the Killer"" is a masterpiece of insane cinema.This film is surely challenging-filled with enough sadistic violence and rape to satisfy fans of Japanese harrowing cinema.It's based on the popular manga by Hideo Yamamoto.The character of Ichi is truly amazing-he is a mysterious figure who slices various individuals into numerous bloody pieces with razor sharp blades strapped to his boots.The gore is pretty extreme as Ichi literally slices people in half with his razor-sharp boots.The acting is surprisingly good-Nao Omori and Tadanobu Asano are impressive as Ichi and Kakihara.Highly recommended,especially if you have strong stomach.9 out of 10.",positive
"Ichi the Killer is definitely not a film for people who have weak stomachs or who are easily offended. This film contains some of the most shocking images you'll ever see and includes some very disturbing characters that won't be forgotten in a hurry. It is always a very brave move for a film maker when they decide to adapt from a manga as manga often has aspects within it that can not be replicated in to a live picture. Takashi Miike makes the transition possible and blows away all walls of reality with an outstanding and totally unforgettable film.The plot involves Yakuza boss Anjo going missing with a huge stash of cash, his gang members investigate and a classic game of cat and mouse is involved. This seems simple enough but what is out of the ordinary is that the leader of the investigation, Kakihara (Tadanobu Asano), is a major masochist and Anjo's killer, Ichi (Nao Omori) is the ultimate sadist with a tormented soul. This is where Ichi the Killer's shocking and graphic imagery really come in to force. Miike is uncompromising in his approach with regards to what he delivers on screen. There are no subtleties, no off camera goings on; it is all there for the audience to see, in full detail! The torture scenes, and their results, are especially horrific. If this film had been made in America or Europe, it would have been banned within a second of being made, it's that graphic. What disturbed me more than the disgusting imagery however, were the characters. Ichi's character I found genuinely terrifying as whilst he often comes across as a cartoonish character, there is a disturbingly real quality to his character. Ichi's childlike naivety draws many parallels to past psychotic killers that have existed in real life and his sexual excitement at causing pain and death is incredibly unsettling. Also unsettling is the character of Kakihara. His badly scarred face and clips either side of his lips immediately make him appear a scary figure and the only thing more disturbing than his pleasure for torturing others and watching their pain is his unparalleled love for being beaten and tortured himself.What I like about many Asian films is that the acting is often very good and Ichi the Killer is no exception. Tadanobu Asano is brilliant as Kakihara. His performance is charismatic and terrifying, he does a great job of making the role his own. Nao Omori plays Ichi perfectly. The way that he can act tormented, childish and merciless all in one scene is incredible to watch and, as I said before, gives the film a genuinely disturbing edge rather than just immense gore. Alien Sun is very sexy as Karen and the way she speaks more than one language in an almost random fashion adds further mystery to this film. The fact that Karen is the only character who has Ichi's past explained to her from Jijii makes the audience able to empathise with her character more than anyone else. Shinya Tsukamoto is also very good as Jijii. His character is unravelled throughout the film and Tsukamoto is very convincing in his portrayal of what turns out to be a very complex character.The purpose of this film is to shock and it achieves its goal to the point where you almost can not watch. With extremely graphic gore and some intense surrealist imagery that Salvador Dali himself would have been proud of, Ichi the Killer will never be forgotten and deserves to be watched by a lot more people (even if they can only watch it once!). Miike is very clever with his direction. The way he blends Kaneko's flash back sequences with the present does wonders to keep the audience's attention. The ending is also done with great style and is very effective in ending the film so it is down to interpretation of the audience.Despite being very hard to palate, Ichi the Killer is a fantastic film. Directing, acting, writing and score are all spot on and the quality of the film is very good. Not a film I could handle watching too regularly but definitely a film I'll want to watch a few more times in the future.",positive
"Ichi the Killer, is hands down the number one hardest film for me to sit through.... so far. The acting is so good, characters so charismatic, that you are compelled to keep watching. The story is about 2 characters, one a member of the mafia, the other a man without direction. Kakihara is expelled from the Yazuka gang for his methods, which are altogether too brutal for them - and takes over the Anjo gang. He is a sado masochist, who lives his death with a sort of destined death wish.. looking for the one who will be worthy to kill him.In a way it's a film about two extremes... desensitization and over-sensitization by a broken society. Ichi is in love with a local prostitute, but she belongs to the Yazuka boss, who beats her, rapes her.. so Ichi kills the head Yazuka boss for the girl he loves, but he accidentally kills her too. He has never quite gotten over his childhood best friend who was raped in front of him, and he was too afraid to help her.The story is very graphic and very dark, but has a very interesting message, and the directing,music, and acting are all surprisingly so good, that they actually get the message across flawlessly even though you might have to turn the movie off every 20 minutes just to catch your breath!So, Kakihara teaches his new girlfriend on the humane treatment of masochists, and when he tells her to come at him as if to kill him - she although worn out after beating on him for so long, takes fist to his face one more time... and he simply says - ""That's enough, you're not the one,"" and walks away. Talk about a different first (and last) date.Kakihara is cold, calculating, fearless, and crazy. A sado masochist with delusions of grandeur and a love so misguided it's more of a deathwish then anything else. Ichi is emotionally stunted, psychotic, and sad, garbed in a black superhero costume, or uniform of some type, and out for revenge.. Together, they make one hell of a pair in ICHI THE KILLER. I have not seen a lot of Asian extreme films, they're honestly a bit much for me - Ichi had a very charismatic cast which compels you to watch through to the end.",positive
"You know those revenge stories that are so often used in various Asian cinema, the ones that involve, like, Jackie Chan killing the killers of his brother or whatever? This film is NOTHING like that. However, that's as close of a basic foundational structure I can give you to help explain this amazing psychological look into a world defined by violence and masochism.The storyline is much too deep to give a proper synopsis without either making it sound clichéd or giving away too much information, but basically it's a story about an ex-cop who brainwashes a tender, sensitive young man to kill all the ""bullies"" of the world in order to ignite gang violence. It involves a lot of gore and a crazy sadomasochist with a torn-up face who delights in feeling hunted by Ichi. Various characters all struggle to define their loyalties to violence which leads up to this absolutely stunning ending which frankly could never have originated in American cinema.It's also quite visually appealing, both artistically and with gore. It's an amazing film that anyone with a strong stomach should take the time to hunt down and see.--PolarisDiB",positive
"In 2001 Japanesse cult director Takashi Miike created one of the most unique and controversial movies ever to grace the screen. An adaptation of a manga with the same name, ""Ichi The Killer"" is a wild and crazy ride into the depths of human madness. As the movie creates its own parallel to our world where sexual violence and torture are common ways to express a character's emotional condition or thoughts.Plotwise ""Ichi The Killer"" deals with an yakuza Kakihara (played by the diverse Tadanobu Asano) who along with his underlings starts a search for his missing boss. At the same time he finds himself chased by a mysterious assassin known only as Ichi. Kakihara's methods of extracting information become a similar sight throughout the film, with him torturing anyone that could know something about his boss.The movie is presented as a dark comedy that feels more like a parody of humanity's most dark and hidden desires. With every character representing a sick and twisted version of a certain established type of behavior found in modern society. From the abused, passive and sexually inactive male being transformed into a crying psychopatic murderer whose's only excitement comes from seeing (or causing) massive displays of violence and rape (Ichi). To the violent gangster stereotype further villainized with the character of Kakihara whose never ending need to inflict pain to others or to himself has left him void to any other forms of arouse or emotion. Miike goes so far that he criticizes women in Japan for their often seen submissive behavior by introducing a more independent persona with the character of Karen, a notably western influenced person, her need to cause pain nearly borders Kakihara's.The violence itself is presented in such an obscenely over-exaggerated way that one can not help but laugh at some of the situations created by it. Make no mistake this movie is definitely no kiddie ride, and people who can't stand horror or alternative films have no place in watching this. Miike has gone so far in this that even the title introduction in the begging is going to shock you. He also succeeds in creating a very dreamlike feel to the movie. More nightmarish than dreamlike actually. The finale itself is shockingly absurd with the two main characters ""battling"" it out from a third person's perspective.A special note should be made concerning the movie's soundtrack. Whose unique use of completely different and diverse from each other sounds and styles fits with the film's own meddling in cinematic genres.There is really no second like ""Ichi The Killer"" Takashi Miike created an original work that could disgust many but could also amaze any of those people who are searching for something more untraditional.",positive
"Takashi Miike is a committed sadist; he doesn't just play around with gruesome imagery, he immerses himself in it. Depictions of mutilation, decapitation, and just about every other outrage human beings can perpetrate on other people's bodies (and some they can't, at least not in a universe where the laws of physics as we know them are observed) have become common-place in movies and on television - half the TV shows in prime-time feature corpses in various states of dismemberment, decomposition and God knows what - but these endeavors only employ sadism as a hook, drawing in adult audiences with the promise of seeing something freakish and mortifying. These works are not involved with sadism the way Miike's are, do not take the same insane relish in inventing new tortures, new forms of mortification. Looked at in this light, Miike's Ichi the Killer represents some kind of high-water mark; it strives for a level of sadistic glee above what even most Japanese shockers do (and there are some shockers out there), and achieves what amounts to masterpiece status. Of course the word ""masterpiece"" is employed in strictly relative terms here; Ichi the Killer is not my idea of a masterpiece in the true sense, is not even my idea of what makes for good viewing, but one must acknowledge what Miike has created - nothing more or less than a classic in the field of shock cinema.It's inevitable that such a film would be based on a manga (that's a Japanese comic book for those of you not up on dork-culture (anyone reading this review who feels the need to fill me in on the history of manga, by way of explaining to me how they are not simply ""comic books,"" need not bother, for I do not care)), which are apparently viewed as inspiration treasure-troves among those fascinated by nihilism, flesh-mortification, misogyny and the eternally mysterious, ritual-happy world of the Yakuza. Ichi the Killer gives us all of the above in spades. Its title character is a kind of demented anti-super-hero, a dopey, quivering, brainwashed wreck of a kid bent on ridding the world of all bullies, who dresses up in a nutty Darth-Vader-type outfit (sans mask) equipped with retractable blades that spring out when he performs his martial arts maneuvers, neatly slicing and dicing anyone who gets in the way (Ichi is rather indiscriminate about who he kills; we're led to believe that he has been programmed by his vengeful handler to murder only bad guys, but apparently the programming is a bit dodgy). A regular movie would show Ichi lopping people's heads off, severing the occasional jugular, but Miike is not content with such pedestrian amusements, and pushes things to such outrageous levels that our only sane reaction is to laugh. Miike fills whole rooms with dismembered bodies, spilled guts, blood, decapitated heads, achieving a level of carnage so over-the-top that it becomes surrealist comedy, Ichi a figure not of pity or menace but high sadistic hilarity, a murderous, brainwashed Jerry Lewis. As funny as Ichi is, however, he is not the funniest character in the movie; that distinction belongs to Kakihara, a Yakuza whose favorite pastimes are, in order, inflicting pain on other people, and inflicting pain on himself. Kakihara is a bod-mod freak; his face is covered with strategic scars, his body adorned with tattoos, but his most outrageous mods are the slashes in his cheeks, through which he exhales puffs of cigarette smoke, and which allow him to perform feats of mastication unheard of in human history. The acts of mutilation carried out by people on others in Ichi the Killer are scarcely more outrageous than those carried out by Kakihara upon himself; he feels compelled at one point to slice the end of his own tongue off (the ring through the end of it makes a nice handle to hold while doing the slicing; clever boy, that Kakihara).If this all sounds like too much - well, it is, and that's kind of the point. Miike, like many of his brethren in Asian film, is obsessed with shock-effects, with pushing outrage to a level heretofore unseen in cinema, and by virtue of films like Ichi the Killer has become the godfather of the form. Sure, there are moments of Ichi the Killer where Miike wants us to be touched - he shows Ichi being nice to a little kid, encouraging us to see Ichi as some poor fool with a kindly heart whose brain has been led astray by evil forces - but Miike is only really serious about visualizing torture, mutilation and extreme bod-mod activities as bloodily as possible. Ichi the Killer is a compendium of outrage, and it succeeds only as long as it's delivering on its promise of ever-more-brutal tortures, ever-more-insane forms of self-inflicted harm. It is, of course, a reprehensible movie filled with simulated acts of violence so sick as to make even battle-hardened extreme-cinema fans squirm in their seats, but it's done with so much humor, so much gleeful flair, that you can't help being taken in by it. Its attitude toward existence is purely nihilistic, but damned if it doesn't have fun exposing the essential cruelty of life, the animal nature of human beings. Miike is one sick puppy, but he seems aware of how sick he is, and doesn't try to dress up his outrages with a lot of pretty visual effects or Hollywood-style gloss. Miike is something of a minimalist when it comes to the camera; he tends just to point it and shoot, punctuating the action with stylistic flourishes rather than drowning his movies in style. It isn't even cinema itself that Miike seems primarily interested in, it's the chance to realize his twisted fantasies. He gets away with it because, unlike a lot of would-be sadists, he owns his fantasies, and seems to acknowledge his own twistedness.",negative
"Ichi (Nao Omori) is a disturbed and brainwashed killing machine who dresses up in a superhero costume and is controlled by his mentor named Jijii (Shinya Tsukamoto).Kakihara (Asano Tadanobu) is a sadistic gangster who loves three things: giving and being given pain and looking for the killing machine named Ichi, the person who killed his boss and ran away with his three-hundred million yen. His quest with looking for the mysterious Ichi causes the streets to become a battleground with the gangs of Shinjuku. As the film goes by, the battle with the gangs of Shinjuku becomes more gory than ever.ICHI THE KILLER is a rare film that we get these days. It contains good cartoon like violence, humour so black yet it would make people laugh, an awesome soundtrack and great makeup effects. Sure, it may not be for everyone but for those that are open-minded or are Miike fans and want to watch something different, this film would be for them.",positive
"Be warned - as early as the film's titles - letters rising from fallen sperm - (The costumed killer ejaculated voyeuristically watching violence done by one of the other team of gangster killers).  You should either run screaming from the theater or stay for an over-the-top exercise in so much violence it becomes white noise and almost disappears.  Seen at the Cinematheque, here in Los Angeles, with an adult crowd - this unrated but surely X-cubed film was a delight to those who stayed  A few patrons fled in the middle of the screening but most got the point.  Bad guys pursuing bad guys - with genre formula being trashed at every point - the humor built and built.  Any good characters (children included) were decimated or tortured.  None were spared.  Yet the film is a romp - from the complaining co-workers who grumble about having to clean up blood-drenched murder scenes (they found intestines everywhere) to the sado-masochistic special effects.  The film has left turns into fantasy - then back again - it has intentional bad-acting scenes (from previously capable actors)- the camera work has a will of it sown - exposition that makes no sense.This film posits the questions: If you are going to be a bad-boy film director and take screen violence as far as it can go - no farther than that - NO REALLY FARTHER THAN THAT - to the point of blood almost every minute - what would the result be?  Apparently the director feels that on the far side of excess violence and blood letting in glorious technicolor and grotesque special effects, the cinema would revert to a twisted sense of innocence (beyond all that killing there is a comic sense of the universe).A film that should be seen - but you should be prepared for it.  Not a classic - but a definite statement - more a cinema-artist's statement than a traditional film.  Museums will find a place for it - families will abhor it.I got into it to my amazement.  It stretched my mind about what should be so.",positive
"What can one say about Ichi the Killer? I do have to say, without a doubt, it is one of the most unique films I have ever seen. I was afraid going in, after hearing all of the hype, that it would be gore just for the sake of gore. But the way it is portrayed and the characters are what really drive the movie and make it stand out from other gorefests. It may be my sick personality, but I found myself laughing a lot throughout the movie. There is a lot of black humor in the film, which I enjoy. I would not consider this a horror movie by any means though, as I was not scared at all while watching it and it had none of the tendencies of a traditional horror film. The only thing that kept me from giving it 10 stars is the ending, which is a bit abstract, but I'm sure it was intended that way. But I would recommend this film to anyone, cause it's something everyone should experience. The only movie I could compare this to would be Dead Alive, and that is a very loose comparison. Just do yourself a favor and watch it.",positive
