review,sentiment
"Absolutely incredible! Who would have thought a zombie flick could be so unique, original and wildly entertaining - and that it could sidetrack you with the most audacious curve ball that will knock you out the park and some (twice). Perseverance is the key, the best things are always worth waiting for and this is one of those occasions where the reward will leave you agog at the genius, originality and imagination conjured up. Brilliant!!!",positive
"My husband and I watched this quite coincidentally a few days after seeing VICTORIA, the 140-minute true single take drama that is one of the most extraordinary accomplishments ever committed to film. After seeing what they had pulled off in that film (powerful performances, action scenes, no less than half a dozen distinct settings, a moving story), we were very underwhelmed by the single take zombie story at the beginning of ONE CUT OF THE DEAD. Thirty minutes in, my husband gave up and went upstairs to do other things. I trusted the glowing reviews I had seen and stuck with it.The film has three acts. They're all fairly amateurish, which is to be expected considering the entire film was made for roughly the same cost as a new car. The first act--the single take zombie action sequence--is especially bad. Really weird pacing, an extremely corny story, and jarring errors that come across as cheap and unprofessional. The second act flashes back six months, showing us how the film-within-a-film we've just watched (i.e. Act I) was originally conceived and produced. This act isn't much better. The acting feels more natural and the story is a little more interesting, with some more meaningful character development, but there's also an extremely awful score and some really poor jokes, so it seems like a wash. Then the third act comes--a behind-the-scenes glimpse of the filming of the film-within-a-film that was Act I.I don't want to spoil anything, but trust me that the third act redeems everything, not only evoking some genuine gut-busting laughter but also pulling off the miraculous feat of teaching you to appreciate the first act--the one you were probably just harshly judging half an hour ago--on its very own terms. Sure, you'll find the first act hilarious having seen it from a new perspective, but what makes this film quite special is that you might also chide yourself for having been so critical of it the first time around. The film-within-a-film has flaws, but even so, it's a pretty impressive achievement. By the time the credits roll (at which point we're treated to actual behind-the-scenes footage, which is just meta upon meta), you'll be cheering the filmmakers (fictional as well as real) for having pulled off the very thing that at first glance seemed unremarkable.Even the corniest B-movie is a small miracle of teamwork, so the film ultimately becomes a celebration of filmmaking and an invitation to step off one's high horse and appreciate smaller acts of triumph. This movie is a very surprising joy.",positive
"ACTION!Some novels trust you to be able to stick with strange decisions and styles to push through to a few final pages or chapters or lines that achieve the near-impossible, they redefine and reframe the previous ones, they shed a new light, and radically change your thoughts on the previous material/project as a whole.That happens in this film. To discuss it any further is to completely ruin it. Suffice to say, it is every bit as good as it is being touted as. It's got clever commentary and a style of comedy that means you can actually be laughing before they even show you anything. I'm still laughing about it today, and I think it even manages to take Zombies and be the first film of this decade to give them a new thematic meaning.It's got a denouement too many, but they've earned it: I watched this film at the Sitges film festival and the filmmakers and cast received a standing ovation, at which, I was almost in tears, not only because they thoroughly deserved it, but also because they managed to make a film about what making a film is about. It captures almost all of what it feels like in an authentic and different way to usual, and it uses its budget to make a film about making a film at that budget perfectly.I have no doubt that this cast and crew (of whom none have a single IMDB headshot image!) will get One Cut of the Dead will get a distributor and achieve worldwide success and acclaim, it's just too special and genuine and innovative not to.And it even manages to correct that fact that it 'should' have been called One Take of the Dead in a way that satisfies a pedant like me! Time to get off my arse and make something...",positive
"Easily one of the most original movies of recent years, 'One Cut Of The Dead (2017)' is best experienced if you know as little about it as possible. As such, I'm only going to talk about it in the vaguest of terms. It's safe to say, though, that I highly recommend you go out and watch it. It's a film that successfully subverts expectation on more than one occasion, displaying an excellent understanding of its audience in the process. Though its second act does slow things down considerably, it's wholly necessary to set up one of the most satisfying finales I've ever seen. Seriously, the final third is absolutely phenomenal and retrospectively makes the affair's first movement (which is done as an incredibly ambitious, thirty-seven-minute oner) even more effective. The film feigns amateurism, but it's actually acutely choreographed and amazingly clever. It's funny, engaging, surprising, energetic, inspired and enjoyable. It's fantastic. 9/10.",positive
So at first you just cringe and laugh at the silliness of the movie. Then you are confused. And then you laugh at how amazing the movie is. The last 30minutes were one of my best movie watching experience.,positive
"Kamera o Tomeru na! (Don't Stop the Camera!) features a 37-minute-long continuous shot that took six takes and makes the entire movie. In fact, as boring as zombie movies have become, One Cut of the Dead makes me forget just how bad things have been the last few years.Like a charming animal-destruction free version of Cannibal Holocaust, the movie has three different ways that the story is told, changing with each new telling of the tale. Higurashi, the director, is losing money and needs to finish his film, but he hates how it kooks. So he makes a blood pentagram that activates real zombies that start biting his crew and actors while he keeps screaming for them to keep shooting, no matter what.And honestly, if I tell you anything that happens after the actress Chinatsu kills him and stands inside the pentagram in a trance, it will ruin what was one of the best movies I've seen in some time.This small movie went on to earn a thousand times its budget. That's incredible and if a film is deserving of that success, it's this one.",positive
"If you don't like violent zombie films, you might still enjoy ""One Cut of the Dead"". Sure, it has blood (as you'd expect) but it is more tongue in cheek and silly as opposed to being gross or gratuitous. So, if you are a parent, you could let older kids watch this one with no serious concerns about your kids becoming warped for life!The story is a confusing one. It's kind of like a movie within a movie...within a movie. Instead of explaining the exact plot, I'll just insist that you watch it and don't worry if you are confused....stick with it.The movie is clever, funny and offers something new and different. And, with so many young filmmakers making zombie films, this one actually offers you some things that are unique and well thought out. Well worth seeing....and a great example of cheap but effective film making.",positive
"Funniest film I've watched all year. Awesome cinematography. Simple plot but it's fun to see how a film shooting went, how problems are handled and tackled, how some things goes out the window, and the sacrifices it takes to make it work. You could say it's a love letter to all the behind the scene crews and filmmakers all over the world. Anyone who's have experience on being one would definitely appreciate and enjoy this film. Highly recommended.",positive
"The first twenty minutes are disconcerting and are almost an invitation to leave the movie theater, cursing the friend(s) who invited you to see this movie. Nevertheless, after the introduction, the movie is quite hilarious. If you like zombies and comedies, this movie is right for you!As a postscript, according to IMDb, the budget is about 25.000 USD. Incredible!",positive
"ONE CUT OF THE DEAD is a typically quirky Japanese comedy that nonetheless manages to cut a swathe through genre cliche by looking and acting like no other. It's a film that's best to watch knowing nothing about it, because it takes the viewer on a real rollercoaster, starting out with you laughing at it and ending with you laughing with it. Or maybe I've just watched too many independent zombie films, because I know exactly what they were getting at here. Great performances, inventive set-ups and a real thoroughness in terms of ability and enthusiasm, this is another winner from Third Window.",positive
