review,sentiment
"From the get-go, you'll know that this is a film that relies almost solely on its style and its visual slickness. Low budget in the good sense, Versus resembles early Sam Raimi or Peter Jackson works (Bad Taste springs primarily to mind). It combines good-humored gore with Luc Besson-ish wide lens shots and quirkiness (the characters here reminded me of The Boondock Saints in their flamboyance), along with some very creative martial arts sequences. At some point, in fact, it gets so over-the-top it starts to play out more like a Stephen Chow movie. It then jumps from Night of the Living Dead to Mortal Kombat to Highlander, making a stop or two at X-Men along the way. This eastern/western mix works surprisingly well and the result is highly entertaining, if you enjoy this kind of thing. Just don't go looking for any depth, causality, plot logic, or plot altogether, really. The few dialogue scenes are a mess (excluding the one that takes place when everything turns an orange shade, about an hour into the film), and often serve only as a backdrop for canted steadicam close-ups and multi-character Mexican standoffs. This is not high brow cinema, it's high octane. And it was perfectly fine by me. It is when the film discards some of its humor that it begins to lose its charm, but even then, the spectacularly choreographed martial arts kept me entertained. I would be interested in seeing ""The Ultimate Versus""  a director's cut that's ten minutes longer and has CGI special effects, according to IMDb.P.S. There are few things I hate more than a dubbed movie, but in this case (like in Shaolin Soccer), I found that at certain scenes (particularly ones involving ""the runt""  the wacky short guy), the English dubbing actually adds to the absurdity of the film. Anyway, the DVD offers both the American and the original Japanese dialogue tracks.",positive
"I just finished seeing this film.  Really interesting camera shots makes film feel like it's in another dimension or on another planet.  It also estahblished an eerie, spooky atmosphere and gives a very haunting setting. The good guys can fight, the bad guys (including several Yakuza) aren't afraid to battle, and there are zombies.  As the film goes on, the zombies aren't really the main problem the hero faces.The action scenes in this movie are wild, intense, and can sometimes put a guilty grin on your face.  Whether it's sword slicing, bullets blazing, or good old fashioned martial arts, the pace is frenetic and really establishes the characters well.  Although a few scenes are paced slower, the action here ties it all together.  This is the first time I've seen Zombies in combat who actually put up a great fight.  The main part of the story unfolds during the second half and the ending is creative and original. Versus is unlike any movie I've previously seen.I must've repeated to my friend that the soundtrack for Versus is really cool and it complements the fight scenes fanatic pace.  Cool fashion, good amount of gore, and an interesting storyline.  Definitely an film not to be missed.",positive
"You can't beat that combination, unless you add in ninjas, or samurai... or Godzilla, but zombies and yakuza alone make a very compelling film, even if it has no sensible plot.The storyline is simple enough - prisoners escape, get double crossed, then find out they're in a ""forest of resurrection"" full of zombies that don't like yakuza very much. That's all you really need to know.Sit back and relax as you watch hilarious gory and impossibly bad acting. The movie is based on its visual appeal alone, forget the plot and the characters, watch the fight scenes, the strange standoffs, bad monologues, and hideously bad acting.There are parts, however, where the movie drags on a bit. Killing zombies, even though enormously awesome, does become monotonous after an extended period. But these lulls are few and far between them. The action definitely keeps you hooked for most of the film.Overall? Great action film.7/10",negative
"Mix in equal parts Highlander and a Zombie flick and you end up with this cult classic from Japan.The central premise is admittedly great; the idea of the 666 portals to our world and especially the 444th portal concerned here 'The Forest Of Resurrection' is suitably spooky. In addition, the notion of the perpetually reincarnated warriors battling down throughout the centuries is super cool. Unfortunately, despite the above awesome premise and in addition even having now watched this film three times, each time having tried desperately hard to enjoy it, I ultimately just cannot appreciate what all the fuss is about. To be fair there are some excellent sequences included throughout, especially the scenes set in the past wherein our hero bravely faces overwhelming odds, battling to the bitter end against hoards of zombies and his immortal nemesis.So what went wrong? Well lets start with the characters....The hero in this is to put it mildly, bland at best and was presumably chosen for the part solely based upon his looks. The end result is that given such a boring hero, I found myself actually rooting for the main bad guy in this (who doesn't actually show up until well into the films proceedings!!!) who let's face it, is MUCH cooler anyway!Aside from our decidedly lacklustre hero we also get 'treated' to some particularly annoying characters throughout this. For one there is a horribly dressed psycho who particularly irritated the hell out of me! I'm sure the actor playing him was having a ball with his zany character but damn - the character was a veritable pain in the ass! Also of (non)note is the annoying, whining, diminutive fool who keeps accidentally shooting his fellow comrades, the peculiarly hopeless woman who is reincarnated along with our leads throughout the centuries and upon whose blood will decide the fate of the world and the pointless addition of a number of peripheral characters such as a pair of comic relief agents.The film is mainly celebrated as an action fest and admittedly it does deliver some excellent set pieces throughout. However it has to be said that even these get a bit repetitive as time goes on. The stylised gun play as our protagonists empty seemingly limitless rounds into their undead assailants (and at each other!) does become tiresome after the umpteenth time. In addition despite many reviews I have read to the contrary, the martial arts in this are most definitely not as spectacular as I had been led to believe. In fact it is quite clear upon viewing this, that the majority of relevant actors here are not trained martial artists at all (including the lead), instead they are bolstered via various cinematic tricks such as fast editing in order to compensate.The single biggest flaw in this for me though is the running time which is drastically too long and drags on severely. In fact, had this film been condensed down by about half an hour (or preferably more) I would have awarded this a much higher rating.Although an overall sadly unfulfilling watch I must however comment on and commend the excellent open ending in this which seems to reverse the main protagonists roles as the 'game' begins again in the future - great stuff (including the souped up swords!)Whilst highly recommend by so many and boasting such a huge cult following, try as I might, I simply cannot derive the same enjoyment from this that so many others report to have.Oh well, maybe the supposed sequel will be better....",negative
"Some people are insane! I mean, what were you expecting? The English Patient? I for one love a good gorefest and awesome if its done out of Hollywood. The plot had holes, I guess, I can't really think of anything that really had me come out of the movie. If you rented or bought this and thought, ""Hey, that couldn't have happened, like, oh my Gawd how fake!"" Why would you watch a zombie/sci-fi movie to begin with? You did read the synopses right? The acting was good, watch the original undubbed one please before you blast the flick! The characters were priceless, I loved the ""Charlie's Angels""-esquire stances the yakuza guys made! Tre cool. I loved the fighting as well, every ten minutes or so someone was getting the crap beat out of them. It was also very refreshing to not see so much wire-flying, the one part I can recall that did sort of do that was shot tightly so it didn't seem so exaggerated. I'm a chick and I LOVED how Prisonor KSC2-303 kept hitting the annoying chick over the head, classic! No out of nowhere love scenes here my good people! The ""villian"" was also top-notch. I thought the casting was great. Tak Sakaguchi, wow, baby don't be so mean! :P I can't wait to see him in more things or in the sequel. Please don't watch this if you're cynical or hard to please. ITS A ZOMBIE/GORE/SCI-FI INDIE FILM! Yeah just don't buy it, let someone else who appreciates such fineness get a copy.*By the by, this review is based on ""The Ultimate Versus"" edition.",positive
"This movie actually turned out to be cooler than I expected. I really didn't know what to expect when I was first about to watch this. I only knew it had some zombies,and had something to do with a portal and reincarnation. Its also totally campy, very bloody and gory, and one of the more memorable characters in it. The guy who runs around and screams all the time is hilarious. The dialog is cheesy. It has a decent story to it. Its just a fun movie. The visuals will keep you glued by themselves. This is a very low budget movie, but just remember , if you go to watch it, have no expectations. This movie will make you say "" What the F"" more than make you think. There is also a nice shot at Matrix movies too. Pretty cool movie and I in no way expected the movie to end the way it did. I wonder if there is more to come?",positive
"There are 666 concealed portals that connect the world of the living to the world of the dead. In Japan, two prisoners runaway through the Forest of Resurrection, where the 444th portal is located, to meet a group of criminals that had organized their escape. One of the convicts sees a kidnapped young woman and argues with the leader of the gangsters. There is a shooting, and one of the mobsters is killed. However, a couple of minutes later, the dead rises and attacks his former mates. They realize the resurrection power of the forest, and the criminals become concerned, since they used the location to dump their victims in the spot. Suddenly they are attacked by a great number of zombies and have to fight to survive. But when the boss of the gangsters arrives, the survivor prisoner sees that his fate is to fight against his opponent.The cult ""Versus"" is a gruesome, insane, gore and bizarre zombie movie. The brainless non-sense story is shot in one location in the woods, is full of action, very funny, fast paced and entertaining, with great choreography of the fights. The anti-hero has killed forty-three persons, faces very cruel bad guys (but we never hear their names), rescues the girl saying that he is feminist, but hits her head every time he needs to fight, meaning all the time. The leader of the bad guys with the knife is very funny and I had a lot of fun with this original film. My vote is seven.Title (Brazil): ""O Portal da Ressurreição"" (""The Portal of Resurrection"")Note: On 08 Dec 2020 I saw this film again.",positive
"The contribution that Japan has made to the world of screen violence can hardly be overstated, and in the 21st Century there seems to be a new renaissance of sheer bloodiness. Movies like BATTLE ROYALE, ICHI THE KILLER and VERSUS really set new standards for out and out shocking violence that I don't think any other country in the world has matched.
VERSUS is basically all about action. The premise is a crazy one that involves kung-fu samurais re-incarnated as yakuza who then get turned into zombies and vampires. It's actually a very interesting and quite complex story in its own right, but basically it's an excuse to get a bunch of people in a forest and stage a fairly continuous sequence of hand to hand fights, sword fights and gun fights - with a supernatural angle to justify some HK style OTT acrobatics and an undead angle to justify people getting seriously messed up and still fighting on. Genius. Sick as all hell, but genius!These days, good action movies from Hong Kong are becoming increasingly rare. For years HK stood unchallenged and exported its unique cinematic arts throughout Asia. Since the talent or the investment or the will or whatever seems to have fled the HK industry in recent years, it seems like other Asian countries are stepping up to the challenge of filling the gap. Korea has produced movies like MUSA and MY WIFE IS A GANGSTER, Thailand has produced BANGKOK DANGEROUS and TAK 4, INDIA has produced AANKHEN and MISSION KASHMIR. Hollywood and Europe have had a go too, but with so little success overall it's hardly worth mentioning.VERSUS is clearly made by a small independant team who recognised that Hong Kong isn't going to produce the next jaw-dropping action movie any time soon, and who believed they had what it took to do it instead. It takes a lot of confidence and dedication to produce results like these on a clearly low budget, and Napalm Films must have had a lot of both. VERSUS attempts practically every type of action scene that Hong Kong has been famous for (and Japan traditionally has not), and pulls most of them off very well.
There'd been such a lot of hype around VERSUS on the net for ages that I'd found myself instinctively hating it before I knew anything about it, but when I saw the trailer I was converted to enthusiasm. Seeing the wild disparity between the cool SHIRAYUKI HIME trailer and the dreadful full length movie gave me some trepidation about VERSUS, which is probably a good thing since at least I wasn't expecting something flawless. VERSUS is not flawless, but it's much much better than SHIRAYUKI HIME.
The action scenes are not better than Hong Kong's best - they're not even nearly as good as some of the scenes in movies like MAGNIFICENT WARRIORS in fact, but they're imaginatively and enthusiastically staged and filmed. And violent! Oh so very very violent! The special effects are some of the most convincingly brutal I've seen. ICHI THE KILLER may have had more outrageous effects, but was never in danger of having convincing effects. BATTLE ROYALE may have had more realistic violence, but nothing like the sheer magnitude of the bodily damage people take in VERSUS! People get cut in half, lose limbs, have gaping holes blown through them... well, you know how much it takes to stop a zombie moving . It's all played fairly non-seriously, but not to the cartoonish extent of ICHI. It looks pretty damn real.
Definitely not one for the squeamish, really not a family movie. But for the sick puppies out there who maintain an innocent curiosity as to just how violent a movie can be (like myself, I admit), VERSUS is definitely a must-see!",positive
"This movie, while made to be an action type with some subtle humor, grades pretty low to folks looking for an action movie to snuggle up with and watch alone. This movie is much, much more fun to watch with others, preferably with a sense of humor. If you're not a fan of action, and are looking for anything remotely deep and meaningful, look someplace else.The movie is shot entirely in a forest setting, with the times shifting from morning to twilight frequently.The action is very well put together despite being on an obvious low budget. I recommend this movie to anyone with a few hours to kill with a few friends.",positive
"Boy, oh, boy. They don't make them like this anymore and boy, do I wish I had written this flick. This is a movie living and breathing (so to speak) cult following. ""Versus"" is a thrilling, fast and furious action-horror-comedy-martial arts actioner directed by Ryuhei Kitamara and features a bizarre and original plot line that's virtually nonexistent.The irony is, even though it's original, the film spends very little time explaining its more complicated bits and gets great mileage out of the Japanese actors, none of whom have real names, other than two or three-word descriptions like the grungy, tough-talking anti-hero ""Prisoner KSC2-303"" or ""The Girl"" or ""Yakuza Leader with Butterfly Knife."" Real deep characters, huh?The plot is simple, if confusing, and all seven minutes of it occur within the first few scenes: In Japan's ""Forest of Resurrection,"" two escaped convicts are on their way to making a rendezvous with a group of fellow gangsters. A shoot-out occurs over a disagreement between KSC2 and the Yakuza leader regarding a kidnapped young woman in the trunk of his car - The Girl; one of the men is killed, and so is KSC2's buddy.KSC2 and The Girl run off into the forest, but after he, and each of the gangsters put 50 bullets into the reanimated corpses of KSC2's buddy and the dead gangster. Soon, KSC2, The Girl, and the gangsters realize something is not right about the woods they had set up as a prearranged meeting spot, and it isn't long before they're all emptying clip after clip into the zombified corpses rising up from their shallow graves in the forest floor. (On a side note, I don't think any of the gangsters ever run out of ammunition.)As it would turn out, the gangsters have been using the forest as a burial ground for their victims, and they're coming back to settle a score with their killers. Since this is the Forest of Resurrection, all the bodies of slain gangsters are rising from the dead and fighting against their living enemies. That's about all there is to the plot, and all you need to know.This is a strange gem right here, folks. I don't think there's single production in Hollywood that could touch this movie in terms of style and subject matter. It looks fantastic, really giving the woods a life of its own (so to speak), and the mood of the film is effectively surreal. (It kind of reminds me of ""The Evil Dead"" in a few ways.) ""Versus"" ultimately plays out like a collision between every low-budget zombie movie, John Woo shoot-'em-up picture, and action movie we've ever seen. Now in Hollywood, ladies and gentlemen, we call that originality.""Versus"" is a skillful blend of each genre and it never loses sight of the main conflict between escaped convicts and gangsters; the zombies are merely a nuisance - who at first appear to be an interference with shadowy gangland activities. But as it would turn out, however, there's more to the story, and the Forest of Resurrection, as well as the zombies somehow figure into a plot that's best explained by the main villain of the picture, a stranger who I presume is The Man (since as I said before none of the characters have real names), who seeks The Girl to use her in his quest to achieve immortality, or something like that.It's also pretty funny too. Much of the comedy in this movie arises from one panicky gangster member and two horribly disfigured police officers (whom I'm not sure are dead and resurrected or just badly injured) who have vowed to bring down the escaped convicts. And the corny one-liners (ever-present in the American dubbed version) will definitely get you laughing at its attempts to sound cool to our braindead audiences.Even though ""Verses"" is not rated, it's extremely bloody with enough over-the-top gore to please any American gorehound or fan of zombie pictures. It's also got enough martial arts action and Woo-style gunplay to satisfy anyone who's gone into the film thinking this is a samurai picture (from looking at the DVD cover art).""Versus"" will definitely win on the cult circuit; whether it's ready to take on the American mainstream is a question that only time will answer. We'll just have to wait and see who the winner of that titanic battle will be...7/10",positive
